motor,nombre,frase,tiempo_sintesis_s,std_tiempo_s,ttfb_s,warmup_s,duracion_audio_s,rtf,std_rtf,ram_pico_mb,cpu_pct_pico,cpu_pct_medio,wer,utmos
piper,piper_es_ES-davefx-medium_fast,Hola.,0.026,0.0023,0.0253,0.03,0.36,0.071,0.0063,156.1,42.4,21.2,1.0,
piper,piper_es_ES-davefx-medium_fast,Finalizado.,0.041,0.0042,0.0407,0.048,0.73,0.056,0.0057,175.0,47.4,11.8,0.0,
piper,piper_es_ES-davefx-medium_fast,Giro completado.,0.054,0.006,0.054,0.044,0.88,0.062,0.0068,177.1,52.2,46.5,0.5,
piper,piper_es_ES-davefx-medium_fast,"Entendido, avanzando.",0.125,0.0188,0.1243,0.119,1.3,0.096,0.0144,185.6,100.0,56.3,0.0,
piper,piper_es_ES-davefx-medium_fast,Ruta recalculada.,0.162,0.0592,0.1613,0.115,0.89,0.181,0.0662,197.9,100.0,45.0,1.0,
piper,piper_es_ES-davefx-medium_fast,Modo pausa activado.,0.141,0.0401,0.1404,0.159,1.07,0.132,0.0375,197.9,100.0,48.2,1.3333,
piper,piper_es_ES-davefx-medium_fast,Conexión perdida.,0.104,0.0102,0.1036,0.107,0.91,0.115,0.0112,197.9,52.2,46.8,1.0,
piper,piper_es_ES-davefx-medium_fast,Sistema listo.,0.096,0.0076,0.0957,0.124,0.87,0.11,0.0088,199.9,52.1,49.1,0.0,
piper,piper_es_ES-davefx-medium_fast,He detectado tres objetos.,0.129,0.01,0.1269,0.155,1.34,0.096,0.0075,199.9,51.1,47.0,0.0,
piper,piper_es_ES-davefx-medium_fast,Navegando hacia la cocina.,0.124,0.0117,0.1231,0.134,1.17,0.105,0.01,200.0,49.8,48.1,0.0,
piper,piper_es_ES-davefx-medium_fast,Estoy acoplada en la base.,0.091,0.0136,0.0904,0.115,1.1,0.082,0.0123,200.0,49.8,48.8,0.2,
piper,piper_es_ES-davefx-medium_fast,No puedo hacer eso ahora.,0.105,0.015,0.1042,0.088,1.02,0.102,0.0147,200.0,52.0,47.8,0.0,
piper,piper_es_ES-davefx-medium_fast,"Obstáculo detectado, deteniendo.",0.171,0.0114,0.1699,0.156,1.59,0.108,0.0072,210.7,49.8,45.6,0.6667,
piper,piper_es_ES-davefx-medium_fast,Sensor de distancia activo.,0.14,0.0219,0.14,0.153,1.24,0.113,0.0176,210.7,49.8,44.9,0.25,
piper,piper_es_ES-davefx-medium_fast,Batería cargada al cien por cien.,0.166,0.0188,0.1652,0.188,1.49,0.111,0.0126,210.7,100.0,49.9,0.8333,
piper,piper_es_ES-davefx-medium_fast,"No entiendo, por favor repite el comando.",0.148,0.017,0.1473,0.157,1.67,0.088,0.0102,211.3,52.3,49.6,0.1429,
piper,piper_es_ES-davefx-medium_fast,Veo una persona y una silla delante.,0.144,0.0061,0.1424,0.155,1.61,0.089,0.0038,211.3,49.9,48.6,0.2857,
piper,piper_es_ES-davefx-medium_fast,"Hola, soy Ana, tu robot asistente personal.",0.182,0.0103,0.1818,0.184,1.93,0.095,0.0053,212.2,51.6,49.1,0.4286,
piper,piper_es_ES-davefx-medium_fast,"Tiempo agotado, por favor intenta de nuevo.",0.151,0.0205,0.1506,0.177,1.75,0.086,0.0117,212.9,49.8,49.2,0.2857,
piper,piper_es_ES-davefx-medium_fast,Iniciando secuencia de navegación autónoma.,0.161,0.0155,0.1605,0.155,1.93,0.084,0.008,213.4,49.8,48.5,0.2,
piper,piper_es_ES-davefx-medium_fast,¿Puedes repetirlo? No te he oído bien.,0.148,0.0208,0.0722,0.168,1.8,0.082,0.0115,213.4,49.8,49.0,0.0,
piper,piper_es_ES-davefx-medium_fast,El robot TB4 usa ROS 2 Humble sobre Ubuntu.,0.214,0.0238,0.2121,0.214,2.88,0.074,0.0083,213.4,52.2,48.5,0.8889,
