motor,nombre,frase,tiempo_sintesis_s,std_tiempo_s,ttfb_s,warmup_s,duracion_audio_s,rtf,std_rtf,ram_pico_mb,cpu_pct_pico,cpu_pct_medio,wer,utmos
piper,piper_es_ES-davefx-medium_expresivo_rapido,Sistema listo.,0.584,0.0294,0.5833,0.841,1.02,0.572,0.0288,162.3,81.8,71.8,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,Ruta recalculada.,0.659,0.0205,0.6565,0.651,1.09,0.604,0.0188,350.7,82.8,71.5,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,He detectado tres objetos.,0.939,0.0773,0.9376,1.02,1.61,0.582,0.0479,375.2,84.5,71.1,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,"Obstáculo detectado, deteniendo.",1.074,0.0975,1.071,0.941,1.87,0.574,0.0522,374.5,84.7,69.4,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,Batería cargada al cien por cien.,1.085,0.0643,1.0835,1.024,1.88,0.577,0.0342,377.7,87.0,71.5,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,"Hola, soy Ana, tu robot asistente personal.",1.384,0.1032,1.3814,1.568,2.37,0.584,0.0436,375.5,84.5,70.8,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,"Error: batería al quince por ciento, volviendo a la base.",1.685,0.1447,1.681,1.627,2.93,0.576,0.0495,397.5,84.7,70.4,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,"Por favor, despeja el camino para que pueda pasar.",1.356,0.0829,1.3536,1.482,2.31,0.587,0.0359,398.4,84.5,71.4,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,"Iniciando protocolo de emergencia, avisando al operador.",1.751,0.0794,1.7466,1.726,3.02,0.58,0.0263,403.8,82.2,69.8,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,"Cargando el modelo de lenguaje, esto puede tardar unos segundos.",2.078,0.1282,2.0723,1.84,3.2,0.649,0.04,407.2,82.2,67.0,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,He detectado un obstáculo inesperado en mi ruta y estoy buscando un camino alternativo para llegar al destino.,3.188,0.17,3.1841,3.04,5.47,0.583,0.0311,520.6,84.6,68.3,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,"La batería se encuentra al doce por ciento, te recomiendo llevarme a la estación de carga lo antes posible.",2.833,0.1449,2.8282,2.634,5.07,0.558,0.0286,521.5,82.2,68.8,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,El sistema de visión ha identificado con un noventa y cinco por ciento de confianza que el objeto es una persona.,3.252,0.1304,3.246,3.034,5.64,0.576,0.0231,522.6,84.0,68.5,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,"Por favor, asegúrate de que el área esté libre de personas antes de iniciar la secuencia de movimiento.",2.717,0.0939,2.7125,2.875,5.09,0.534,0.0185,521.9,82.0,69.2,,
piper,piper_es_ES-davefx-medium_expresivo_rapido,"El módulo de reconocimiento de voz no interpretó tu comando, por favor habla más despacio y con claridad.",2.873,0.0292,2.8628,2.975,5.12,0.561,0.0057,521.8,84.6,68.9,,
piper,piper_es_ES-davefx-medium_neutral,Sistema listo.,0.668,0.0348,0.664,0.764,1.1,0.605,0.0315,522.6,82.2,70.8,,
piper,piper_es_ES-davefx-medium_neutral,Ruta recalculada.,0.697,0.0318,0.6939,0.794,1.23,0.566,0.0259,524.1,84.6,70.2,,
piper,piper_es_ES-davefx-medium_neutral,He detectado tres objetos.,1.026,0.1231,1.0219,0.957,1.78,0.578,0.0693,526.4,79.6,69.8,,
piper,piper_es_ES-davefx-medium_neutral,"Obstáculo detectado, deteniendo.",1.198,0.1272,1.1946,1.106,2.05,0.583,0.0619,529.1,84.5,71.1,,
piper,piper_es_ES-davefx-medium_neutral,Batería cargada al cien por cien.,1.148,0.0709,1.144,1.168,1.87,0.614,0.0379,532.2,82.2,71.2,,
piper,piper_es_ES-davefx-medium_neutral,"Hola, soy Ana, tu robot asistente personal.",1.414,0.0702,1.4123,1.497,2.55,0.554,0.0275,532.2,82.2,70.0,,
piper,piper_es_ES-davefx-medium_neutral,"Error: batería al quince por ciento, volviendo a la base.",1.818,0.06,1.8127,1.754,3.23,0.563,0.0186,520.8,84.7,71.5,,
piper,piper_es_ES-davefx-medium_neutral,"Por favor, despeja el camino para que pueda pasar.",1.443,0.1314,1.4401,1.43,2.62,0.55,0.0501,521.0,84.7,70.0,,
piper,piper_es_ES-davefx-medium_neutral,"Iniciando protocolo de emergencia, avisando al operador.",1.828,0.1354,1.8252,1.789,3.15,0.581,0.043,520.4,82.2,70.8,,
piper,piper_es_ES-davefx-medium_neutral,"Cargando el modelo de lenguaje, esto puede tardar unos segundos.",1.94,0.1072,1.9358,1.957,3.39,0.572,0.0316,520.9,82.5,70.0,,
piper,piper_es_ES-davefx-medium_neutral,He detectado un obstáculo inesperado en mi ruta y estoy buscando un camino alternativo para llegar al destino.,3.577,0.3199,3.5709,3.311,6.05,0.591,0.0529,569.0,82.2,66.5,,
piper,piper_es_ES-davefx-medium_neutral,"La batería se encuentra al doce por ciento, te recomiendo llevarme a la estación de carga lo antes posible.",3.035,0.1547,3.028,3.257,5.29,0.573,0.0292,566.1,84.2,68.7,,
